identif,genero,idade,concelho,lat,lon,dieta_saudavel,carne_branca,carne_vermelha,leite,ovos,sobras,cereais,leguminosas,vegetais,frutas,snacks,take_away,jantar_fora,compra_frutas,onde_compra,como_desloca,considera_que_tem_diversidade,perto_longe,alteracoes_climaticas,mudar_habitos,o_que_bloqueia,autosuficiencia,politicas,fao1,fao2,rendimento,instrucao,situacao_prof,saude,score_proteina,score_fruta,score_processados,score_sustentabilidade,dieta_percecionada,score_geral,FID,CreationDate,Creator,EditDate,Editor,GlobalID,x,y
651026,Homem,29,loule,37.225167558,-8.046919949,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,"Todos os dias, várias vezes",Uma vez por semana,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Uma vez por semana,Algumas vezes por semana,Uma vez por semana,grandes superficies,a pé,Sim,,Sim,"Não mudou, mas consideraria mudar",1,Sim,Sim,Não,Não,É difícil viver com o rendimento atual,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,5,5,4,1,4,3.75,1,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,a51b66cd-947d-425e-903c-793eeb2731e1,-8.046919949,37.225167558
651027,Homem,44,almada,38.635628858,-9.193063099,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,"Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,mercearia,a pé,Sim,,Não,"Não mudou, mas consideraria mudar",1,Sim,Sim,Sim,Sim,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Não,1,1,4,5,5,2.75,2,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,b2122346-a6cf-49e2-a535-c1bdfba780f2,-9.193063099,38.635628858
651028,Mulher,44,porto,41.161698034,-8.620935214,Algumas vezes por semana,Algumas vezes por semana,Nunca,Uma vez por semana,Algumas vezes por semana,,Algumas vezes por semana,,Uma vez por dia,Uma vez por dia,Uma vez por semana,Uma vez por semana,Uma vez por semana,Algumas vezes por semana,grandes superficies,carro,Não,,Não,Sim,1,Não,Sim,Não,Não,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Não,5,4,3,1,4,3.25,3,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,d31316db-d61f-4633-a91d-a2bf3818001c,-8.620935214,41.161698034
651029,Homem,23,trofa,41.311369996,-8.567256326,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,"Todos os dias, várias vezes",,Algumas vezes por semana,,Uma vez por dia,Uma vez por dia,Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,mercado,carro,Não,,Não,Não mudou,5,Não sei,Sim,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,1,4,4,5,5,3.5,4,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,52d75c2c-b061-41ce-97cf-d49f4331a354,-8.567256326,41.311369996
651030,Mulher,24,trofa,41.311369996,-8.567256326,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Uma vez por semana,,Nunca,,Uma vez por semana,Uma vez por dia,Uma vez por semana,Ocasionalmente no mês,Ocasionalmente no mês,Todos os dias,directamente ao produtor,carro,Não,,Ns/Nr,Não mudou,2,Sim,Não sei,Sim,Não,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Não,1,1,3,4,4,2.25,5,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,0f8db597-4497-4516-9e85-fca08ef5d904,-8.567256326,41.311369996
651033,Homem,76,vila nova de gaia,41.074443664,-8.58053563,Ocasionalmente no mês,Uma vez por dia,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Nunca,Ocasionalmente no mês,Ocasionalmente no mês,Todos os dias,supermercado,a pé,Sim,,Não,"Não mudou, mas consideraria mudar",1,Não,Sim,Não,Não,O rendimento atual dá para viver,Instrução primária completa,Reformado(a),Não,1,5,5,2,2,3.25,6,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,c15c77b2-baf9-4ee9-8c9f-6720774d54f3,-8.58053563,41.074443664
651034,Homem,43,amadora,38.759812577,-9.229503441,Ocasionalmente no mês,Uma vez por semana,Ocasionalmente no mês,"Todos os dias, várias vezes",Uma vez por semana,,"Todos os dias, várias vezes",,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,Uma vez por semana,Nunca,Uma vez por semana,mercado,a pé,Sim,,Ns/Nr,Sim,2,Sim,Não,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Desempregado(a),Não,5,3,2,4,2,3.5,7,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,e18b5b12-6674-41eb-b6ad-3acb57d4d412,-9.229503441,38.759812577
651042,Homem,39,montijo,38.729919993,-8.693569784,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,"Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,mercado,carro,Não,,Não,Não mudou,2,Não,Sim,Não,Não,O rendimento atual dá para viver,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,2,1,4,4,4,2.75,8,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,39874d09-a7e9-41c5-b564-eb245102e098,-8.693569784,38.729919993
651043,Mulher,61,santarem,39.336991087,-8.729192837,Algumas vezes por semana,Uma vez por dia,Ocasionalmente no mês,Uma vez por dia,Algumas vezes por semana,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,mercado,a pé,Sim,,Ns/Nr,"Não mudou, mas consideraria mudar",1,Não sei,Não sei,Sim,Sim,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,3,5,4,5,4,4.25,9,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,f81a9432-1bb5-4ba7-92bc-b9f725f3f82d,-8.729192837,39.336991087
651046,Homem,37,vila nova de gaia,41.074443664,-8.58053563,Algumas vezes por semana,Nunca,Nunca,"Todos os dias, várias vezes",Nunca,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,grandes superficies,a pé,Sim,,Sim,Sim,3,Não,Não,Não,Não,O rendimento atual permite viver confortavelmente,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,4,5,4,1,4,3.5,10,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,28174ef6-2ecd-476c-9f20-114b79c3a88d,-8.58053563,41.074443664
651048,Mulher,50,evora,38.533138692,-7.870218718,Ocasionalmente no mês,Algumas vezes por semana,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Uma vez por dia,Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,grandes superficies,carro,Sim,,Ns/Nr,"Não mudou, mas consideraria mudar",3,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,5,3,4,1,2,3.25,11,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,dce3ae19-388f-40a2-ace8-72c42ce5662e,-7.870218718,38.533138692
